Date In,Date Out,Symbol,Exchange,Company,Brokerage,Shares,Avg Cost,Total Cost,Avg Sell,Fees,Total Inflow,Gain / Loss,G/L %,Sector,Alt Symbol,Referrer,Notes
2026-04-09,2026-04-10,AAOI,Nasdaq,Applied Optoelectronics,dan-etrade,31,139.59,4327.29,151.7,0,4702.7,375.40999999999985,8.67540654774697,Semis,,,
2026-04-21,2026-04-22,SATS,London,Satsuma Technology,dan-etrade,23,128.046,2945.058,122.485,0,2817.155,-127.90299999999979,-4.34297049497836,Space,,Marlin,
2026-02-27,2026-04-23,EWY,ETF,MSCI South Korea,parents,19,151.14,2871.66,153.145,0,2909.755,38.095000000000255,1.326584623527864,Emerging Markets,,Noble,
2026-04-15,2026-04-24,TTMI,Nasdaq,TTM Technologies,fidelity,11,115.6,1271.6,141.4,0.03,1555.3700000000001,283.7700000000002,22.315979867883,Semis,,Marlin,
2026-04-15,2026-04-24,TTMI,Nasdaq,TTM Technologies,fidelity,12,115.6,1387.1999999999998,146.39,0.04,1756.6399999999999,369.44000000000005,26.632064590542104,Semis,,Marlin,
0026-04-22,2026-04-29,POET,Nasdaq,POET Technologies,dan-etrade,259,5.7637,1492.7983,6.465,0.04,1674.395,181.59670000000006,12.164851741859572,Semis,,Jason Chips,
2026-04-13,2026-05-05,SOI,Paris,Soitech,ibk,15,64.06,960.9000000000001,152.1,0,2281.5,1320.6,137.43365594754914,Semi,SOI.PA,Jason Chips,
2026-04-09,2026-05-05,LRN,NYSE,Stride,fidelity,49,90.2,4419.8,93.8,0.1,4596.099999999999,176.29999999999927,3.988868274582544,Semis,,Jason Chips,
2026-04-09,2026-05-05,TER,Nasdaq,Teradyne,dan-etrade,12,363.55,4362.6,363.63,0,4363.5599999999995,0.9599999999991269,0.02200522624121228,Robotics,,Marlin,"Round 2 for us on TER. We made +41% on our first TER trade this year. Teradyne is the #1 robotics leader in the market, in my opinion. As chip complexity increases and AI automation accelerates, TER will continue to benefit immensely."
